"","Indicator.Name","Indicator.Code","Year.Month","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cabo Verde","Cameroon","Central African Republic","Chad","Comoros","Côte d'Ivoire","Democratic Republic of the Congo","Djibouti","Egypt","Equatorial Guinea","Eswatini","Ethiopia","Gabon","Ghana","Guinea","Guinea-Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Republic of Congo","Rwanda","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","Sudan","Tanzania","The Gambia","Togo","Tunisia","Uganda","Zambia","Zimbabwe"
"13","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-01-31",0,0.83,0.4,NA,NA,0.28,1.27,NA,NA,NA,NA,0.07,NA,NA,NA,NA,1.72,0.38,NA,NA,-0.47,NA,NA,0.59,13.13,NA,0.57,NA,NA,NA,0.71,0.19,0.58,1.93,NA,0.24,8.69,0.28,NA,-0.31,2.09,4.35,NA,1.1,-3.2,-0.42,NA,1.04,-2.21,0.29,NA,NA,NA
"14","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-02-28",0.01,0.16,-0.1,NA,NA,0.27,2.7,NA,NA,NA,NA,0.33,NA,NA,NA,NA,-1.47,3.45,NA,NA,2.23,NA,NA,0.76,-0.46,NA,1.38,NA,NA,NA,0.27,0.1,-0.01,0.34,NA,0.12,-0.35,0.35,NA,-0.32,2.65,0.08,NA,0.95,0.16,1.13,NA,0.04,-0.18,-0.13,NA,NA,0.86
"15","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-03-31",-0.02,0.13,-0.2,NA,NA,-0.25,0.09,NA,NA,NA,NA,0.06,NA,NA,NA,NA,1.8,0.97,NA,NA,1.58,NA,NA,1.21,4.92,NA,0.81,NA,NA,NA,0.18,0,0.2,1.59,NA,0.56,-0.22,-0.58,NA,-0.6,1.8,0.04,NA,0.94,-2.43,0.08,NA,0.07,0.05,0.06,NA,NA,1.36
"16","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-04-30",0.7,0.4,-0.89,NA,NA,-0.34,0.37,NA,NA,NA,NA,0.02,NA,NA,NA,NA,0.07,1.61,NA,NA,-1.84,NA,NA,0.59,2.09,NA,1.03,NA,NA,NA,1.06,0.1,-0.29,-0.14,NA,1.98,-0.07,-0.09,NA,1.25,1.5,0.34,NA,0.27,7.55,0.38,NA,0.02,0.17,0.4,NA,NA,-0.34
"17","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-05-31",0,0.29,-0.2,NA,NA,1.05,-0.09,NA,NA,NA,NA,0,NA,NA,NA,NA,1.53,0.94,NA,NA,1.94,NA,NA,0.54,13.37,NA,1.62,NA,NA,NA,0.17,0,-0.21,0.37,NA,-0.93,0.22,0.28,NA,-0.34,0.32,0.21,NA,0.27,-0.31,0.84,NA,0,0.13,0.16,NA,NA,-4.87
"18","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-06-30",0,0.67,-0.2,NA,NA,-0.85,0,NA,NA,NA,NA,-0.08,NA,NA,NA,NA,-0.25,0.6,NA,NA,2.36,NA,NA,0.41,0.41,NA,2.14,NA,NA,NA,0.52,0,0.02,0.85,NA,0.92,-0.19,0.83,NA,0,0.2,1.42,NA,0.93,-1.85,2.29,NA,0.12,0.55,-0.1,NA,NA,-0.53
"19","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-07-31",-0.01,0.32,0,NA,NA,0.17,1.12,NA,NA,NA,NA,-0.18,NA,NA,NA,NA,0.23,2.49,NA,NA,-1.25,NA,NA,0.46,1.32,NA,0.96,NA,NA,NA,0.52,0.09,-0.14,-0.17,NA,10.79,0.02,-0.1,NA,0.01,-2.61,1.44,NA,-0.26,0.36,1.89,NA,0.3,-0.02,0.2,NA,NA,2.49
"20","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-08-31",1.02,0.13,0.1,NA,NA,2.36,1.02,NA,NA,NA,NA,0,NA,NA,NA,NA,0.44,1.83,NA,NA,-0.1,NA,NA,0.31,1.62,NA,1.47,NA,NA,NA,0.09,0,0.07,0.12,NA,0.99,1.1,0.41,NA,0.31,-0.51,0.32,NA,0,0.91,1.52,NA,0.13,0.01,0.3,NA,NA,0.17
"21","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-09-30",0,0.4,0.6,NA,NA,5.13,0.18,NA,NA,NA,NA,0.02,NA,NA,NA,NA,0.6,1.67,NA,NA,0.24,NA,NA,0.6,-0.37,NA,2.17,NA,NA,NA,-0.09,0,1.01,0.36,NA,-1.53,-1.01,-0.08,NA,-0.54,-0.32,0.12,NA,0.13,2.43,-0.02,NA,0.1,-0.02,0.04,NA,NA,0
"22","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-10-31",0.05,0.27,-0.4,NA,NA,1.87,0.09,NA,NA,NA,NA,0,NA,NA,NA,NA,0.45,0.22,NA,NA,-0.58,NA,NA,0.11,-0.97,NA,0.96,NA,NA,NA,-0.09,0.09,0.47,0.19,NA,0.38,2.29,0.18,NA,0.02,-0.52,0.08,NA,-0.26,9.8,0.51,NA,0.24,-0.15,0.28,NA,NA,0
