Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Common Reference Period
Norway,142,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,2.41890639481001,1.28495158809158,0.696864111498249,2.12048620353119,2.04170286707211,2.17113665389527,3.55000000000001,1.87510059552549,2.76483134528794,2.16773003305403,1.28658490707999,3.48388055266676,5.76412317852272,
Brazil,223,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,5.03872690108065,6.63644962213087,5.40349914037008,6.204310666401,6.32904015516141,9.02990102416129,8.73914352329393,3.44637335032672,3.66485028376724,3.73297621216894,3.21176803803379,8.30165975585674,9.28010608956871,
Russian Federation,922,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,6.8493923025503,8.44046485932559,5.07474300799149,6.75371026220953,7.82341183865503,15.5344050528404,7.04244762954795,3.68332944412231,2.87829723647888,4.47036660760174,3.38165937237896,6.69445891957619,,
Luxembourg,137,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,2.27367911621543,3.4106834106834,2.66284165508018,1.73403963519166,0.6285439854407,0.47474316143779,0.290833333333325,1.73079959118896,1.52819524307372,1.74332075653844,0.81995730212701,2.52692009066168,6.33600807777923,
Liberia,668,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,7.28992796890228,8.48816751849398,6.83178703418538,7.57730681741402,9.86111285574916,7.74869687621312,8.83424868336492,12.4196323907137,23.5635148953742,,,,,
Canada,156,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,1.77687154092629,2.91213508872354,1.51567823124522,0.938291897815217,1.90663590717872,1.1252413609428,1.4287595470108,1.59688412852971,2.268225672481,1.94926902411595,0.716999632307856,3.39519318527533,6.80280115341611,
Lithuania,946,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,1.31921362055463,4.13027562645087,3.08998277055416,1.04747937065349,0.103758009433716,-0.884097405500629,0.905525075460449,3.72288862303694,2.69792779208396,2.33450937988024,1.19989444983569,4.68354420903459,19.7050461518394,
France,132,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,1.53112270420924,2.11159795174999,1.95419531613505,0.863715497861832,0.507758822937958,0.0375143805125383,0.183334861123832,1.03228275064675,1.85081508315495,1.1082549228829,0.476498852725094,1.64233141038391,5.22236748369724,
Cayman Islands,377,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,0.276140861750094,1.32543575779668,1.18894845245605,2.16061146813395,1.27397911533384,-2.34752770165615,-0.625258358618096,,,,,,,
Latvia,941,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,-1.08463595015158,4.3707355993922,2.25778924374594,-0.0294547782578807,0.620490636732363,0.174242243625218,0.140633334505299,2.93036312374665,2.53445424186601,2.81140920075623,0.21906490484204,3.27582937431157,17.3102830198815,
"Türkiye, Rep of",186,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,8.56644420552976,6.47187967115098,8.89156996512163,7.49309030547698,8.85457271364318,7.6708536484588,7.77513415328334,11.1443110840764,16.3324638988929,15.1768215720023,12.2789574462574,19.5964926913323,72.3088359891207,
Colombia,233,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,2.27200227892009,3.41503344776242,3.1693018884006,2.0169922431038,2.89883787761739,4.9898311584953,7.51346024627683,4.31431325695007,3.24056932930567,3.52301932741443,2.52663500084712,3.49505757399452,10.1772313546165,
Bulgaria,918,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,2.43899060504117,4.21990346601875,2.95456829831017,0.890093540913035,-1.41818380264843,-0.104633261008411,-0.798649886453611,2.06159619443137,2.81454473824832,3.10372944796775,1.67244096855761,3.2977443529951,15.3252589264367,
Côte d'Ivoire,662,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,1.22645612135479,4.91243395052461,1.30451119915595,2.5811703725294,0.448682076766145,1.25149954781473,0.72317845751326,0.685881065304639,0.359409031380661,-1.10686343994201,2.42500656821829,4.09195189692858,5.2761672426284,
Switzerland,146,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,0.688238707220011,0.231349207650896,-0.692552018105231,-0.217323155115651,-0.0132025387515927,-1.14390867228178,-0.434618664285843,0.533787839825894,0.936335464113589,0.362886179940633,-0.725874933313383,0.581814168489877,2.83502798644453,
Germany,134,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,1.10380916115812,2.07517452479837,2.00849092167009,1.5047209800535,0.906797948515687,0.514420539517811,0.491748624770789,1.50949655801609,1.73216766075661,1.44566701469761,0.506689889953274,3.14296967309965,7.90438368718497,
United States,111,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,1.64004344238989,3.15684156862206,2.06933726526059,1.46483265562714,1.62222297740823,0.118627135552435,1.26158320570536,2.13011000365962,2.4425832969282,1.81221007526012,1.23358439630639,4.69785886363739,8.00279982052116,
